,Id,Country,HDI Rank,HDI,Life expectancy,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,Change in HDI rank 2010-2015,Average annual HDI growth 1990-2000,Average annual HDI growth 2000-2010,Average annual HDI growth 2010-2015,Average annual HDI growth 1990-2015,Gender Development Index value,Gender Development Index Group,Human Development Index (HDI) Female,Human Development Index (HDI) Male,Life expectancy at birth Female,Life expectancy at birth Male,Mean years of schooling Female,Mean years of schooling Male,Estimated gross national income per capita Female,Estimated gross national income per capita Male,Share of seats in parliament (% held by women),Population with at least some secondary education % (2005-2015) Female,Population with at least some secondary education % (2005-2015) Male,Labour force participation rate (% ages 15 and older) Female,Total Population (millions) 2015,Total Population (millions) 2030,Population Average annual growth 2000/2005 (%),Population Average annual growth 2010/2015 (%),Population Urban 2015 %,Population Under age 5 (millions) 2015,Population Ages 15–64 (millions) 2015,Population Ages 65 and older (millions) 2015,Population Median age (years) 2015,Dependency Ration Young age (0–14) /(per 100 people ages 15–64),Dependency Ratio Old age (65 and older) /(per 100 people ages 15–64),Total fertility rate (birth per woman) 2000/2005,Total fertility rate (birth per woman) 2000/2007,Infants exclusively breastfed (% ages 0–5 months) 2010-2015,Infants lacking immunization DTP (% of one-year-olds),Infants lacking immunization Measles (% of one-year-olds),Child malnutrition Stunting (moderate or severe) 2010-2015,"Mortality rates Infant (per 1,000 live births) 2015","Mortality rates Under-five (per 1,000 live births) 2015","Mortality rates Female Adult (per 1,000 live births) 2014","Mortality rates Male Adult (per 1,000 live births) 2014","Deaths due to Malria (per 100,000 people) ","Deaths due to Tuberculosis (per 100,000 people) ","HIV prevalence, adult (% ages 15–49)",Life expectancy at age 59 (years) 2010/2015,"Physicians  (per 10,000 people) 2001-2014",Public health expenditure (% of GDP) 2014,Employment to population ratio (% ages 15 and older),Labour force participation rate (% ages 15 and older),Employment in agriculture (% of total employment) 2010-2014,Employment in services (% of total employment) 2010- 2014,Total Unemployment (% of labour force) 2015,Unemployment Youth (% ages 15-24) 2010-2014,Unemployment Youth not in school or employment (% ages 15-24) 2010-2014,Vulnerable employment (% of total employment) 2005-2014,Child labour  (% ages 5-14) 2009-2015,Working poor at PPP$3.10 a day (%) 2004-2013,Mandatory paid maternity leave (days),Old-age pension recipients  (% of statutory pension age population) 2004-2013,Internet users,Internet users (% 2010 -2015),Inequality-adjusted HDI (IHDI),Inequality-adjusted HDI (IHDI) Over loss(%),Difference from HDI rank,Coefficient of human inequality,Inequality in life expectancy (%) 2010-2015,Inequality-adjusted life expectancy index,Inequality in education(%),Inequality-adjusted education index,Inequality in income (%),Inequality-adjusted income index,Income inequality (Quintile ratio) 2010-2015,Income inequality (Palma ratio) 2010-2015,Income inequality (Gini coefficient) 2010-2015
98,99,Dominican Republic,99,1,74,8,"12,756",-13,0,1,1,1,1,1,1,1,1,77,71,8,8,"9,281","16,256",19,57,56,52,11,12,2,1,79,1,7,1,26,47,11,3,3,5,9,12,7,26,31,121,205,0,4,1,22,15,3,56,65,15,42,14,30,21,42,13,8,84,11,52,-7,1,22,1,22,17,1,20,0,28,1,11,3,47
99,100,Saint Vincent and the Grenadines,99,1,73,9,"10,372",-1,-6,,1,0,,,,,,75,71,,,"7,600","13,095",13,,,56,0,0,0,0,51,0,0,0,30,36,11,2,2,,1,1,,17,18,130,182,,1,,20,5,4,54,67,,,20,40,,8,,,91,77,52,-14,,,,,13,1,,,,,,,
100,101,Tonga,101,1,73,11,"5,284",33,-8,0,1,0,0,1,2,1,1,76,70,11,11,"3,959","6,602",0,91,91,53,0,0,1,0,24,0,0,0,21,64,10,4,4,52,14,33,8,14,17,102,167,,2,,19,6,4,60,63,,,5,12,,,,,0,1,45,26,,,,,14,1,,,,,7,2,38
101,102,Libya,102,1,72,7,"14,303",-25,-35,1,0,-1,0,1,2,1,1,75,69,8,7,"7,163","21,364",16,66,44,28,6,7,2,0,79,1,4,0,28,46,7,3,3,,4,7,21,11,13,99,173,,10,,18,19,4,42,53,,,21,50,,,,,98,43,19,-13,,,,,16,1,,,,,,,
102,103,Belize,103,1,70,11,"7,375",14,-2,0,0,0,0,1,2,1,1,73,67,11,11,"5,360","9,402",13,78,77,56,0,1,3,2,44,0,0,0,24,51,6,3,3,15,4,5,19,14,17,132,224,0,2,2,17,8,4,62,70,,,12,22,28,24,3,,98,65,42,-22,1,23,-6,22,12,1,16,1,38,0,,,
103,104,Samoa,104,1,74,10,"5,372",27,0,1,1,0,1,,,,,77,71,,,"3,444","7,182",6,78,70,23,0,0,1,1,19,0,0,0,21,65,9,4,4,51,1,9,,15,18,93,159,,3,,19,5,7,39,41,5,80,6,14,38,31,,,28,50,25,21,,,,,13,1,,,,,8,2,43
104,105,Maldives,105,1,77,6,"10,383",-8,10,,1,1,,1,3,1,1,78,76,6,6,"7,155","13,591",6,34,31,57,0,0,2,2,46,0,0,0,26,41,7,3,2,48,1,1,20,7,9,59,83,,2,,20,14,11,60,68,15,67,12,28,56,19,,13,60,100,55,36,1,25,-9,23,7,1,40,0,23,1,7,2,38
105,106,Uzbekistan,105,1,69,12,"5,748",21,6,,1,1,,1,3,1,1,72,65,12,12,"3,891","7,668",16,100,100,48,30,34,1,2,36,3,20,1,26,43,7,3,3,26,1,1,20,34,39,133,238,,9,0,18,25,3,56,62,,,10,20,,,,,126,98,43,-3,1,16,10,15,24,1,1,1,20,0,,,
106,107,Moldova (Republic of),107,1,72,12,"5,026",31,0,-1,1,1,0,1,1,1,1,76,68,12,12,"4,461","5,637",22,95,97,39,4,4,0,0,45,0,3,0,36,21,13,1,1,36,6,10,6,14,16,101,244,,8,1,17,30,5,40,42,29,54,5,16,29,32,16,1,126,73,50,51,1,10,21,10,9,1,7,1,14,1,4,1,27
107,108,Botswana,108,1,65,9,"14,663",-33,-3,0,2,1,1,1,1,1,1,67,62,9,10,"13,278","16,050",10,85,87,73,2,3,1,2,57,0,2,0,24,50,6,3,3,20,2,3,31,35,44,262,346,0,28,22,17,3,3,63,77,26,56,19,29,,13,9,26,84,100,28,41,0,38,-23,36,21,1,32,0,56,0,23,6,61
108,109,Gabon,109,1,65,8,"19,044",-46,5,0,0,1,0,1,4,1,1,66,64,7,9,"15,838","22,177",16,62,46,40,2,2,2,2,87,0,1,0,21,64,9,4,4,6,23,39,18,36,51,246,245,67,55,4,18,3,2,39,49,,,21,36,,31,13,18,98,39,24,63,1,24,-3,24,28,1,24,0,20,1,8,2,42
109,110,Paraguay,110,1,73,8,"8,182",3,-4,1,1,1,1,1,2,1,1,75,71,8,8,"6,138","10,165",17,46,47,58,7,8,2,1,60,1,4,0,25,47,9,3,3,24,2,10,11,18,21,126,166,0,3,0,21,12,5,68,72,23,58,5,12,12,38,28,6,63,22,44,15,1,24,-5,24,18,1,14,1,38,0,15,4,52
110,111,Egypt,111,1,71,7,"10,064",-7,-3,1,1,1,1,1,5,1,1,74,69,6,8,"4,750","15,267",2,55,68,23,92,117,2,2,43,12,56,5,25,54,9,3,3,40,4,7,22,20,24,113,189,,0,0,17,28,2,44,49,28,48,12,36,28,26,7,48,90,33,36,23,0,29,-10,28,13,1,35,0,36,0,,,
111,112,Turkmenistan,111,1,66,10,"14,026",-32,2,,,1,,,,,,70,62,,,"9,359","18,856",26,,,47,5,6,1,1,50,1,4,0,26,42,6,3,2,11,1,1,19,44,51,153,297,,3,,17,24,1,56,62,,,10,20,,,,,,,15,130,,,,,26,1,,,,,,,
112,113,Indonesia,113,1,69,8,"10,053",-8,3,1,1,1,1,1,3,1,1,71,67,7,9,"6,668","13,391",17,43,52,51,258,296,1,1,54,25,173,13,28,41,8,3,3,42,6,23,36,23,27,147,205,10,41,1,17,2,1,63,67,34,45,6,19,24,33,7,39,90,8,22,51,1,18,9,18,17,1,21,0,17,1,7,2,40
113,114,"Palestine, State of",114,1,73,9,"5,256",21,-5,,,0,,1,5,1,1,75,71,9,9,"1,766","8,651",,56,61,18,5,7,2,3,75,1,3,0,19,71,5,5,4,39,1,1,7,18,21,98,143,,0,,19,8,,32,44,11,61,26,40,31,26,6,3,70,8,57,20,1,15,13,15,14,1,17,1,15,1,6,1,35
114,115,Viet Nam,115,1,76,8,"5,335",18,2,2,1,1,1,1,1,1,1,81,71,8,8,"4,834","5,846",24,64,77,74,93,105,1,1,34,8,66,6,30,33,10,2,2,24,5,3,19,17,22,68,186,0,18,1,22,12,4,77,78,47,32,2,5,9,63,16,15,180,35,53,4,1,18,9,18,14,1,18,1,21,0,7,2,38
115,116,Philippines,116,1,68,9,"8,395",-7,-7,1,1,0,1,1,1,1,1,72,65,10,9,"6,845","9,917",27,73,70,51,101,124,2,2,44,11,64,5,24,50,7,4,3,34,14,12,30,22,28,144,272,0,10,0,17,12,2,60,65,30,54,7,16,25,38,11,32,60,29,41,33,1,18,8,18,16,1,12,1,27,0,8,2,43
